name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Taconic RF-30 (tm),,,,,,,,3,,Taconic RF-30 (tm),,,,Conductor,
Neltec NH9300 (tm),,,,,,,,3,,Neltec NH9300 (tm),,,,Conductor,
Neltec NX9300(IM) (tm),,,,,,,,3,,Neltec NX9300(IM) (tm),,,,Conductor,
Rogers Ultralam 1300 (tm),,,,,,,,3,,Rogers Ultralam 1300 (tm),,,,Conductor,
Arlon AD300C (tm),,,,,,,,2.97,,Arlon AD300C (tm),,,,Conductor,
Arlon AD300A (tm),,,,,,,,3,,Arlon AD300A (tm),,,,Conductor,
Rogers RO3203 (tm),,,,,,,,3.02,,Rogers RO3203 (tm),,,,Conductor,
Polyflon Copper-Clad ULTEM (tm),,,,,,,,3.05,,Polyflon Copper-Clad ULTEM (tm),,,,Conductor,
GIL GML1000 (tm),,,,,,,,3.12,,GIL GML1000 (tm),,,,Conductor,
GIL GML2032 (tm),,,,,,,,3.2,,GIL GML2032 (tm),,,,Conductor,
polyester,,,,,,,,3.2,,polyester,,,,Conductor,
GIL GML1032 (tm),,,,,,,,3.2,,GIL GML1032 (tm),,,,Conductor,
GIL MC5 (tm),,,,,,,,3.2,,GIL MC5 (tm),,,,Conductor,
Rogers RO4232 (tm),,,,,,,,3.2,,Rogers RO4232 (tm),,,,Conductor,
Neltec NH9320 (tm),,,,,,,,3.2,,Neltec NH9320 (tm),,,,Conductor,
Neltec NX9320(IM) (tm),,,,,,,,3.2,,Neltec NX9320(IM) (tm),,,,Conductor,
Taconic TLC (tm),,,,,,,,3.2,,Taconic TLC (tm),,,,Conductor,
Arlon AD320A (tm),,,,,,,,3.2,,Arlon AD320A (tm),,,,Conductor,
Rogers TMM 3 (tm),,,,,,,,3.27,,Rogers TMM 3 (tm),,,,Conductor,
Arlon 25N (tm),,,,,,,,3.38,,Arlon 25N (tm),,,,Conductor,
Krempel Akaflex PCL (tm),,,,,,,,3.3,,Krempel Akaflex PCL (tm),,,,Conductor,
Neltec NH9338 (tm),,,,,,,,3.38,,Neltec NH9338 (tm),,,,Conductor,
Rogers RO4003 (tm),,,,,,,,3.55,,Rogers RO4003 (tm),,,,Conductor,
Nelco N4000-13 SI (tm),,,,,,,,3.4,,Nelco N4000-13 SI (tm),,,,Conductor,
Krempel Akaflex KCL (tm),,,,,,,,3.4,,Krempel Akaflex KCL (tm),,,,Conductor,
Arlon 25FR (tm),,,,,,,,3.58,,Arlon 25FR (tm),,,,Conductor,
Neltec NH9348 (tm),,,,,,,,3.48,,Neltec NH9348 (tm),,,,Conductor,
Rogers RO4350 (tm),,,,,,,,3.66,,Rogers RO4350 (tm),,,,Conductor,
Taconic RF-35 (tm),,,,,,,,3.5,,Taconic RF-35 (tm),,,,Conductor,
Arlon AD350A (tm),,,,,,,,3.5,,Arlon AD350A (tm),,,,Conductor,
Arlon TC350 (tm),,,,,,,,3.5,,Arlon TC350 (tm),,,,Conductor,
Dupont Type 100 HN Film (tm),,,,,,,,3.5,,Dupont Type 100 HN Film (tm),,,,Conductor,
Nelco N4000-13 (tm),,,,,,,,3.5,,Nelco N4000-13 (tm),,,,Conductor,
Neltec NH9350 (tm),,,,,,,,3.5,,Neltec NH9350 (tm),,,,Conductor,
Isola Gigaver 210 (tm),,,,,,,,3.75,,Isola Gigaver 210 (tm),,,,Conductor,
GE GETEK ML200/RG200 (tm),,,,,,,,3.9,,GE GETEK ML200/RG200 (tm),,,,Conductor,
Isola Gigaver 410 (tm),,,,,,,,3.9,,Isola Gigaver 410 (tm),,,,Conductor,
Arlon AD410 (tm),,,,,,,,4.1,,Arlon AD410 (tm),,,,Conductor,
Arlon AD430 (tm),,,,,,,,4.3,,Arlon AD430 (tm),,,,Conductor,
Rogers TMM 4 (tm),,,,,,,,4.5,,Rogers TMM 4 (tm),,,,Conductor,
Arlon AD450 (tm),,,,,,,,4.5,,Arlon AD450 (tm),,,,Conductor,
Rogers TMM 6 (tm),,,,,,,,6,,Rogers TMM 6 (tm),,,,Conductor,
Arlon AD600 (tm),,,,,,,,6.15,,Arlon AD600 (tm),,,,Conductor,
Arlon TC600 (tm),,,,,,,,6.15,,Arlon TC600 (tm),,,,Conductor,
Rogers RT/duroid 6006 (tm),,,,,,,,6.15,,Rogers RT/duroid 6006 (tm),,,,Conductor,
Rogers RO3006 (tm),,,,,,,,6.15,,Rogers RO3006 (tm),,,,Conductor,
Taconic RF-60 (tm),,,,,,,,6.15,,Taconic RF-60 (tm),,,,Conductor,
Rogers TMM 10 (tm),,,,,,,,9.2,,Rogers TMM 10 (tm),,,,Conductor,
Rogers TMM 10i (tm),,,,,,,,9.8,,Rogers TMM 10i (tm),,,,Conductor,
Arlon AR1000 (tm),,,,,,,,10,,Arlon AR1000 (tm),,,,Conductor,
Arlon AD1000 (tm),,,,,,,,10.2,,Arlon AD1000 (tm),,,,Conductor,
Taconic CER-10 (tm),,,,,,,,10,,Taconic CER-10 (tm),,,,Conductor,
Rogers RT/duroid 6010/6010LM (tm),,,,,,,,10.2,,Rogers RT/duroid 6010/6010LM (tm),,,,Conductor,
Rogers RO3210 (tm),,,,,,,,10.2,,Rogers RO3210 (tm),,,,Conductor,
Rogers RO3010 (tm),,,,,,,,10.2,,Rogers RO3010 (tm),,,,Conductor,
Tantalum Nitride,58,,140,,16600,,0.000135135,,,Tantalum Nitride,1.90E+11,0.35,6.60E-06,Conductor,
tantalum,,,,,,,1.59E-07,,,tantalum,,,,Conductor,
modified_epoxy,,,,,,,,4.2,,modified_epoxy,,,,Conductor,
BT_systems,,,,,,,,3.9,,BT_systems,,,,Conductor,
cyanate_ester,,,,,,,,3.8,,cyanate_ester,,,,Conductor,
mica,0.34,,500,,2500,,,5.7,,mica,34500000000,0.205,1.05E-05,Conductor,
diamond,2000,,472,,3510,,,16.5,,diamond,1.14E+12,0.2,1.18E-06,Conductor,
porcelain,,,,,,,,,,porcelain,,,,Conductor,
glass,,,,,,,,,,glass,,,,Conductor,
marble,3,,880,,2700,,,8.3,,marble,70000000000,0.1,1.20E-05,Conductor,
Al_N,120,,734.3,,3250,,,8.8,,Al_N,3.05E+11,,5.20E-06,Insulator,
Be_O,248,,1024,,2850,,,6.8,,Be_O,,0.38,6.40E-06,Conductor,
diamond_hi_pres,2000,,518,,3200,,,5.7,,diamond_hi_pres,9.00E+11,0.2,1.18E-06,Conductor,
diamond_pl_cvd,2000,,472,,3200,,,3.5,,diamond_pl_cvd,9.00E+11,0.2,1.18E-06,Conductor,
benzocyclobuten,0.29,,1247,,1130,,,2.6,,benzocyclobuten,,,,Conductor,
epoxy_Kevlar_xy,,,,,,,,,,epoxy_Kevlar_xy,,,,Conductor,
polyimideQuartz,,,,,,,,4,,polyimideQuartz,,,,Conductor,
water_distilled,0.61,,,,,,5000,81,0.999991,water_distilled,,,,Conductor,
water_fresh,,,,,,,,,,water_fresh,,,,Conductor,
water_sea,0.61,,,,,,0.25,81,0.999991,water_sea,,,,Conductor,
graphite,24,,709,,2250,,1.43E-05,,,graphite,4800000000,,2.00E-06,Conductor,
iron,79,,447,,7870,,9.71E-08,,4000,iron,1.95E+11,0.28,1.20E-05,Conductor,
cast_iron,83,,165,,7200,,6.67E-07,,60,cast_iron,1.65E+11,0.27,1.20E-05,Conductor,
cobalt,100,,421,,8862,,1.00E-07,,250,cobalt,2.06E+11,0.32,2.66E-05,Conductor,
lead,35,,129,,11336,,2.00E-07,,0.999983,lead,14000000000,0.45,2.85E-05,Conductor,
indium,,,,,,,,,,indium,,,,Conductor,
magnesium,,,,,,,,,,magnesium,,,,Conductor,
molybdenum,,,,,,,,,,molybdenum,,,,Conductor,
rhodium,,,,,,,,,,rhodium,,,,Conductor,
zirconium,,,,,,,,,,zirconium,,,,Conductor,
Alnico5,,,,,,,,,,Alnico5,,,,Conductor,
steel_1008,45,,481,,7872,,,,,steel_1008,2.00E+11,0.25,1.26E-05,Conductor,
Alnico9,,,,,,,,,,Alnico9,,,,Conductor,
Ceramic5,,,,,,,,,,Ceramic5,,,,Insulator,
Ceramic8D,,,,,,,,,,Ceramic8D,,,,Conductor,
NdFe30,,,,,,,,,,NdFe30,,,,Conductor,
NdFe35,,,,,,,,,,NdFe35,,,,Conductor,
SmCo24,,,,,,,,,,SmCo24,,,,Conductor,
SmCo28,,,,,,,,,,SmCo28,,,,Conductor,
mu_metal,0,,,,,,,,,mu_metal,,,,Conductor,
steel_1010,45,,448,,7872,,,,,steel_1010,2.05E+11,0.28,1.22E-05,Conductor,
Megtron6_1035_Laminate,,,,,,,,,,Megtron6_1035_Laminate,,,,Conductor,
Megtron6_1035_PP,,,,,,,,,,Megtron6_1035_PP,,,,Conductor,
Megtron6_1078_PP,,,,,,,,,,Megtron6_1078_PP,,,,Conductor,
Megtron6_3313_Laminate,,,,,,,,,,Megtron6_3313_Laminate,,,,Conductor,
ZEONEX RS420 (tm),,,,,,,,,,ZEONEX RS420 (tm),,,,Conductor,
ZEONEX RS420-LDS (tm),,,,,,,,,,ZEONEX RS420-LDS (tm),,,,Conductor,
HDPE plastic,,,,,,,,,,HDPE plastic,,,,Conductor,
PVC plastic,,,,,,,,,,PVC plastic,,,,Conductor,
SolderMask,,,,,,,,,,SolderMask,,,,Conductor,
Isola Astra (R),,,,,,,,,,Isola Astra (R),,,,Conductor,
Isola Chronon (tm),,,,,,,,,,Isola Chronon (tm),,,,Conductor,
Isola FR408,,,,,,,,,,Isola FR408,,,,Conductor,
Isola FR408HR,,,,,,,,,,Isola FR408HR,,,,Conductor,
Isola FR408HRIS,,,,,,,,,,Isola FR408HRIS,,,,Conductor,
Isola GigaSync (R),,,,,,,,,,Isola GigaSync (R),,,,Conductor,
Isola GreenSpeed (tm),,,,,,,,,,Isola GreenSpeed (tm),,,,Conductor,
Isola I-Speed (R),,,,,,,,,,Isola I-Speed (R),,,,Conductor,
Isola I-Speed IS (R),,,,,,,,,,Isola I-Speed IS (R),,,,Conductor,
Isola I-TeraMT (R),,,,,,,,,,Isola I-TeraMT (R),,,,Conductor,
Isola IS300MD,,,,,,,,,,Isola IS300MD,,,,Conductor,
Isola IS680-280,,,,,,,,,,Isola IS680-280,,,,Conductor,
Isola IS680-300,,,,,,,,,,Isola IS680-300,,,,Conductor,
Isola IS680-320,,,,,,,,,,Isola IS680-320,,,,Conductor,
Isola IS680-338,,,,,,,,,,Isola IS680-338,,,,Conductor,
Isola IS680-345,,,,,,,,,,Isola IS680-345,,,,Conductor,
Isola IS680AG,,,,,,,,,,Isola IS680AG,,,,Conductor,
Isola Stratus (R),,,,,,,,,,Isola Stratus (R),,,,Conductor,
Isola Tachyon (R),,,,,,,,,,Isola Tachyon (R),,,,Conductor,
Isola Tachyon 100G (R),,,,,,,,,,Isola Tachyon 100G (R),,,,Conductor,
Isola TerraGreen (R),,,,,,,,,,Isola TerraGreen (R),,,,Conductor,
Freon-TF,,,,,,,,,,Freon-TF,,,,Conductor,
Glycol-20,,,,,,,,,,Glycol-20,,,,Conductor,
Glycol-34,,,,,,,,,,Glycol-34,,,,Conductor,
Glycol-50,,,,,,,,,,Glycol-50,,,,Conductor,
Glycol-60,,,,,,,,,,Glycol-60,,,,Conductor,
Glycol-80,,,,,,,,,,Glycol-80,,,,Conductor,
Water(@360K),,,,,,,,,,Water(@360K),,,,Conductor,
Air-solid,,,,,,,,,,Air-solid,,,,Conductor,
Epoxy-unfilled,,,,,,,,,,Epoxy-unfilled,,,,Conductor,
Solder-pb50_sn50,,,,,,,,,,Solder-pb50_sn50,,,,Conductor,
SiC-kt grade,,,,,,,,,,SiC-kt grade,,,,Conductor,
SiC-single xtal,,,,,,,,,,SiC-single xtal,,,,Conductor,
Epoxy-silica filled,,,,,,,,,,Epoxy-silica filled,,,,Conductor,
Cu-German,,,,,,,,,,Cu-German,,,,Conductor,
Zn-typical,,,,,,,,,,Zn-typical,,,,Conductor,
FC-78,,,,,,,,,,FC-78,,,,Conductor,
Solder-pb39.2_sn60.8,,,,,,,,,,Solder-pb39.2_sn60.8,,,,Conductor,
Ge-n type,,,,,,,,,,Ge-n type,,,,Conductor,
Mica-powder,,,,,,,,,,Mica-powder,,,,Conductor,
Bismuth-Telluride,,,,,,,,,,Bismuth-Telluride,,,,Conductor,
Diamond-IIa,,,,,,,,,,Diamond-IIa,,,,Conductor,
Steel-stainless-400,,,,,,,,,,Steel-stainless-400,,,,Conductor,
Al-2024-T6,,,,,,,,,,Al-2024-T6,,,,Conductor,
Water(@320K),,,,,,,,,,Water(@320K),,,,Conductor,
Ruber-dielectric,,,,,,,,,,Ruber-dielectric,,,,Conductor,
Rubber-buna-carbon black,,,,,,,,,,Rubber-buna-carbon black,,,,Conductor,
Freon-E5,,,,,,,,,,Freon-E5,,,,Conductor,
FC-88,,,,,,,,,,FC-88,,,,Conductor,
SiC-slf bnd_ he atm,,,,,,,,,,SiC-slf bnd_ he atm,,,,Conductor,
Solder-pb37.5_sn37.5_in25,,,,,,,,,,Solder-pb37.5_sn37.5_in25,,,,Conductor,
Al-Die Cast-99.8,,,,,,,,,,Al-Die Cast-99.8,,,,Conductor,
Aluminum 6061-T4,,,,,,,,,,Aluminum 6061-T4,,,,Conductor,
Aluminum 6061-T6,,,,,,,,,,Aluminum 6061-T6,,,,Conductor,
Aluminum 6063-T5,,,,,,,,,,Aluminum 6063-T5,,,,Conductor,
Aluminum 1100,,,,,,,,,,Aluminum 1100,,,,Conductor,
Freon-C-51-12,,,,,,,,,,Freon-C-51-12,,,,Conductor,
Epoxy-glass fiber,,,,,,,,,,Epoxy-glass fiber,,,,Conductor,
Mica-Typical,,,,,,,,,,Mica-Typical,,,,Conductor,
Ag-99.9%,,,,,,,,,,Ag-99.9%,,,,Conductor,
Steel-Chromenickel,,,,,,,,,,Steel-Chromenickel,,,,Conductor,
Fe-Cast(White),,,,,,,,,,Fe-Cast(White),,,,Conductor,
Rubber-natural,,,,,,,,,,Rubber-natural,,,,Conductor,
Ni-Inconel-cast,,,,,,,,,,Ni-Inconel-cast,,,,Conductor,
Rubber-Plyspr natural,,,,,,,,,,Rubber-Plyspr natural,,,,Conductor,
Cu-Brass-30%Zn,,,,,,,,,,Cu-Brass-30%Zn,,,,Conductor,
Zn-Al-Cu-alloy,,,,,,,,,,Zn-Al-Cu-alloy,,,,Conductor,
Al-Die Cast-90,,,,,,,,,,Al-Die Cast-90,,,,Conductor,
Ni-Inconel,,,,,,,,,,Ni-Inconel,,,,Conductor,
Nitrogen,,,,,,,,,,Nitrogen,,,,Conductor,
Carbon Dioxide,,,,,,,,,,Carbon Dioxide,,,,Conductor,
Carbon Monoxide,,,,,,,,,,Carbon Monoxide,,,,Conductor,
Chlorine,,,,,,,,,,Chlorine,,,,Conductor,
Ammonia,,,,,,,,,,Ammonia,,,,Conductor,
Hydrogen,,,,,,,,,,Hydrogen,,,,Conductor,
Benzene,,,,,,,,,,Benzene,,,,Conductor,
Cu-Brass(Die-Cast),,,,,,,,,,Cu-Brass(Die-Cast),,,,Conductor,
Water Vapor,,,,,,,,,,Water Vapor,,,,Conductor,
h2o,,,,,,,,,,h2o,,,,Conductor,
Si-Typical,,,,,,,,,,Si-Typical,,,,Conductor,
Si-Typical_Ref,,,,,,,,,,Si-Typical_Ref,,,,Conductor,
Al-Extruded,,,,,,,,,,Al-Extruded,,,,Conductor,
Nylon-polycaprolactam,,,,,,,,,,Nylon-polycaprolactam,,,,Conductor,
Plastic,,,,,,,,,,Plastic,,,,Conductor,
Polycarbonate-JSME,,,,,,,,,,Polycarbonate-JSME,,,,Conductor,
Polypropylene-JSME,,,,,,,,,,Polypropylene-JSME,,,,Conductor,
Polystyrene-JSME,,,,,,,,,,Polystyrene-JSME,,,,Conductor,
Air@(500m),,,,,,,,,,Air@(500m),,,,Conductor,
Air@(1000m),,,,,,,,,,Air@(1000m),,,,Conductor,
Air@(2000m),,,,,,,,,,Air@(2000m),,,,Conductor,
Air@(3000m),,,,,,,,,,Air@(3000m),,,,Conductor,
Air@(4000m),,,,,,,,,,Air@(4000m),,,,Conductor,
Air@(5000m),,,,,,,,,,Air@(5000m),,,,Conductor,
Air@(6000m),,,,,,,,,,Air@(6000m),,,,Conductor,
Air@(7000m),,,,,,,,,,Air@(7000m),,,,Conductor,
Air@(8000m),,,,,,,,,,Air@(8000m),,,,Conductor,
Air@(9000m),,,,,,,,,,Air@(9000m),,,,Conductor,
Air@(10000m),,,,,,,,,,Air@(10000m),,,,Conductor,
Air@(11000m),,,,,,,,,,Air@(11000m),,,,Conductor,
Air@(12000m),,,,,,,,,,Air@(12000m),,,,Conductor,
Oxygen(@300k),,,,,,,,,,Oxygen(@300k),,,,Conductor,
Epoxy Resin-Typical,,,,,,,,,,Epoxy Resin-Typical,,,,Conductor,
Epoxy Resin-JSME,,,,,,,,,,Epoxy Resin-JSME,,,,Conductor,
Acrylic Resin-JSME,,,,,,,,,,Acrylic Resin-JSME,,,,Conductor,
Bakelite-JSME,,,,,,,,,,Bakelite-JSME,,,,Conductor,
Hard Vinyl Chloride-JSME,,,,,,,,,,Hard Vinyl Chloride-JSME,,,,Conductor,
Polyethylene Resin-JSME,,,,,,,,,,Polyethylene Resin-JSME,,,,Conductor,
Phenol Resin-JSME,,,,,,,,,,Phenol Resin-JSME,,,,Conductor,
Silicone Resin-JSME,,,,,,,,,,Silicone Resin-JSME,,,,Conductor,
Flouroethylene Resin-JSME,,,,,,,,,,Flouroethylene Resin-JSME,,,,Conductor,
Fe-Wrought,,,,,,,,,,Fe-Wrought,,,,Conductor,
Cu-Brass(Moldformed),,,,,,,,,,Cu-Brass(Moldformed),,,,Conductor,
Fe-Cast(Grey),,,,,,,,,,Fe-Cast(Grey),,,,Conductor,
Al-Duralumin,,,,,,,,,,Al-Duralumin,,,,Conductor,
Air(@300K),,,,,,,,,,Air(@300K),,,,Conductor,
Air-Dry(@325K),,,,,,,,,,Air-Dry(@325K),,,,Conductor,
Air-Moist(@325K),,,,,,,,,,Air-Moist(@325K),,,,Conductor,
Zn-Al-alloy,,,,,,,,,,Zn-Al-alloy,,,,Conductor,
Polystyrene-Typical,,,,,,,,,,Polystyrene-Typical,,,,Conductor,
FC-75,,,,,,,,,,FC-75,,,,Conductor,
Ti-Typical,,,,,,,,,,Ti-Typical,,,,Conductor,
Ti-Typical_Ref,,,,,,,,,,Ti-Typical_Ref,,,,Conductor,
Mg-Typical,,,,,,,,,,Mg-Typical,,,,Conductor,
Mg-Typical_Ref,,,,,,,,,,Mg-Typical_Ref,,,,Conductor,
Steel-Carbon-1020,,,,,,,,,,Steel-Carbon-1020,,,,Conductor,
